date,tge
2019-01-01,80.11330377
2019-02-01,78.79038966
2019-03-01,81.10049382
2019-04-01,83.61170614
2019-05-01,77.04567514
2019-06-01,80.09404011
2019-07-01,78.93809794
2019-08-01,79.60414532
2019-09-01,77.63885503
2019-10-01,78.17048933
2019-11-01,81.24018395
2019-12-01,80.48867194
2020-01-01,81.11781199
2020-02-01,79.29114811
2020-03-01,80.9837989
2020-04-01,78.17727508
2020-05-01,82.85047469
2020-06-01,82.97922262
2020-07-01,82.82247177
2020-08-01,79.77182328
2020-09-01,81.90815673
2020-10-01,81.54335148
2020-11-01,79.9841112
2020-12-01,79.79660143
2021-01-01,82.86952357
2021-02-01,84.10742231
2021-03-01,86.62952308
2021-04-01,80.25356807
2021-05-01,77.52774271
2021-06-01,81.9708423
2021-07-01,80.09376671
2021-08-01,78.49322864
2021-09-01,79.60433638
2021-10-01,76.46037543
2021-11-01,70.84798367
2021-12-01,68.51105049
2022-01-01,72.74467146
2022-02-01,70.76649429
2022-03-01,72.56592991
2022-04-01,67.28
2022-05-01,67.76
2022-06-01,63.41
2022-07-01,68.51
2022-08-01,72.73
2022-09-01,72.87
2022-10-01,76.25
2022-11-01,76.58
2022-12-01,75.38
2023-01-01,79.1
2023-02-01,82.5
2023-03-01,80.13
2023-04-01,87.52
2023-05-01,91.06
2023-06-01,85.13
2023-07-01,80.07
2023-08-01,68.01
2023-09-01,71.47
2023-10-01,74.62
2023-11-01,75.47
2023-12-01,77.42
2024-01-01,80.42310949
2024-02-01,79.34287272
2024-03-01,79.35478993
2024-04-01,80.46085072
2024-05-01,80.50803678
2024-06-01,78.30087847
2024-07-01,75.87954525
2024-08-01,76.36547339
2024-09-01,78.22093197
2024-10-01,80.55364561
2024-11-01,79.77236914
2024-12-01,81.27129334
2025-01-01,80.96201449
2025-02-01,82.07125469
2025-03-01,85.85941588
2025-04-01,83.86290602
2025-05-01,84.79218744
2025-06-01,85.06417614
2025-07-01,83.51878976
2025-08-01,84.2505225
2025-09-01,83.87427161
2025-10-01,83.62820392
2025-11-01,84.98021374
2025-12-01,83.48995007
